scope,group,column,description,unit,source
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",silt_perc,percentage silt,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",silt_perc_missing,percentage of the catchment with no data for silt_perc,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",soil_depth_pelletier,depth to bedrock (maximum 50m),m,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",soil_depth_pelletier_5,5th percentile of soil_depth_pelletier across the catchment,m,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",soil_depth_pelletier_50,50th percentile (median) of soil_depth_pelletier across the catchment,m,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",soil_depth_pelletier_95,95th percentile of soil_depth_pelletier across the catchment,m,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",soil_depth_pelletier_missing,percentage of the catchment with no data for soil_depth_pelletier,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",tawc,total available water content,mm,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",tawc_5,5th percentile of tawc across the catchment,mm,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",tawc_50,50th percentile (median) of tawc across the catchment,mm,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",tawc_95,95th percentile of tawc across the catchment,mm,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
soil,"Soil Attributes Each soil attribute is accompanied by the percentage missing and the 5th, 50th and 95th percentile (apart from percentage sand, silt, clay and organic content) of that attribute across the catchment",tawc_missing,percentage of the catchment with no data for tawc,%,"European Soil Database Derived Data product (Hiederer, 2013a, b), and the modelled depth to bedrock global product (Pelletier et al., 2016)"
timeseries_daily,Key,date,observation date (YYYY-MM-DD); the daily value covers 09:00-09:00,date,-
timeseries_daily,Hydrological Timeseries (available from 1st October 1970 - 30th September 2022),discharge_spec,catchment specific discharge (converted to mm day-1 using catchment areas described in Section 2),mm day-1,UK National River Flow Archive using the NRFA API*
timeseries_daily,Hydrological Timeseries (available from 1st October 1970 - 30th September 2022),discharge_vol,catchment discharge,m3 s-1,UK National River Flow Archive using the NRFA API*
timeseries_daily,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),pet_chess,catchment averaged daily potential evapotranspiration for a well-watered grass (Penman-Monteith equation),mm day-1,"CHESS-PE (Robinson et al., 2017, 2023b)"
timeseries_daily,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),pet_hydrope,catchment averaged daily potential evapotranspiration for a well-watered grass (Penman-Monteith equation),mm day-1,"Hydro-PE (Brown et al., 2023; Robinson et al., 2023c)"
timeseries_daily,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),peti_chess,catchment averaged daily potential evapotranspiration for a well-watered grass (Penman-Monteith equation with a correction added for interception on days where rainfall has occurred),mm day-1,"CHESS-PE (Robinson et al., 2017, 2023b)"
timeseries_daily,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),peti_hydrope,catchment averaged daily potential evapotranspiration for a well-watered grass (Penman-Monteith equation with a correction added for interception on days where rainfall has occurred),mm day-1,"Hydro-PE (Brown et al., 2023; Robinson et al., 2023c)"
timeseries_daily,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),precipitation_cehgear,catchment averaged daily precipitation,mm day-1,"CEH-GEAR (Keller et al., 2015; Tanguy, 2021)"
timeseries_daily,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),precipitation_haduk,catchment averaged daily precipitation,mm day-1,"HadUK-Grid (Hollis et al., 2019)"
timeseries_daily,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),temperature_chess,catchment averaged daily temperature,°C,"CHESS-met (Robinson et al., 2023a)"
timeseries_daily,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),temperature_haduk,catchment averaged daily temperature,°C,"HadUK-Grid (Hollis et al., 2019)"
timeseries_gw,Key,date,observation date (YYYY-MM-DD) of the groundwater level reading,date,-
timeseries_gw,Groundwater Level Timeseries (daily and monthly timeseries for variable time periods),groundwater_level,groundwater level for a specific borehole at either daily or monthly timesteps,mAOD,"British Geological Survey (BGS), National Groundwater Level Archive [online]. Available at: https://www2.bgs.ac.uk/groundwater/datainfo/levels/ngla.html (Accessed: 01 Feb 2025)."
timeseries_hourly,Key,date,"observation timestamp (YYYY-MM-DD HH:MM:SS), hourly, running 09:00 to 09:00",datetime,-
timeseries_hourly,Hydrological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),discharge_flag,numeric flag that indicates the quality of the flow data (full description of flags can be found in Figure S5 and Table S1-S3),-,"The flows and level data were obtained from SEPA via the timeseries data service (https://timeseriesdoc.sepa.org.uk/; last access 23rd September 2025), from EA primarily through the Hydrology Data Explorer (https://environment.data.gov.uk/hydrology; last access 23rd September 2025) and, where unavailable, with staff assistance, and from NRW entirely with staff assistance. Flags derived from UKFlows15."
timeseries_hourly,Hydrological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),discharge_spec,catchment specific discharge (converted to mm hour-1 using catchment areas described in Section 2),mm hour-1,"The flows and level data were obtained from SEPA via the timeseries data service (https://timeseriesdoc.sepa.org.uk/; last access 23rd September 2025), from EA primarily through the Hydrology Data Explorer (https://environment.data.gov.uk/hydrology; last access 23rd September 2025) and, where unavailable, with staff assistance, and from NRW entirely with staff assistance. Flags derived from UKFlows15."
timeseries_hourly,Hydrological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),discharge_vol,catchment discharge,m3 s-1,"The flows and level data were obtained from SEPA via the timeseries data service (https://timeseriesdoc.sepa.org.uk/; last access 23rd September 2025), from EA primarily through the Hydrology Data Explorer (https://environment.data.gov.uk/hydrology; last access 23rd September 2025) and, where unavailable, with staff assistance, and from NRW entirely with staff assistance. Flags derived from UKFlows15."
timeseries_hourly,Hydrological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),level,height of the river (measured in metres above river bed),m,"The flows and level data were obtained from SEPA via the timeseries data service (https://timeseriesdoc.sepa.org.uk/; last access 23rd September 2025), from EA primarily through the Hydrology Data Explorer (https://environment.data.gov.uk/hydrology; last access 23rd September 2025) and, where unavailable, with staff assistance, and from NRW entirely with staff assistance. Flags derived from UKFlows15."
timeseries_hourly,Hydrological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),level_flag,numeric flag that indicates the quality of the level data (full description of flags can be found in Figure S5 and Table S1-S3),-,"The flows and level data were obtained from SEPA via the timeseries data service (https://timeseriesdoc.sepa.org.uk/; last access 23rd September 2025), from EA primarily through the Hydrology Data Explorer (https://environment.data.gov.uk/hydrology; last access 23rd September 2025) and, where unavailable, with staff assistance, and from NRW entirely with staff assistance. Flags derived from UKFlows15."
timeseries_hourly,Meteorological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),precipitation_cehgear,catchment hourly averaged precipitation from 1st October 1990 - 31st December 2019,mm hour-1,"CEH-GEAR1hr (Lewis et al., 2018, 2022)"
timeseries_hourly,Meteorological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),precipitation_gradgb,catchment hourly averaged precipitation from 1st January 2006 - 31st December 2023,mm hour-1,"Gauge-Radar Precipitation Dataset (1 hour and 1 km) for Great Britain, GRaD-GB(1H1K) (Qiu et al., 2025b, a)"
topographic,Location and Topography,area,catchment area,km2,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,Location and Topography,dpsbar,catchment mean drainage path slope,m km-1,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,Location and Topography,elev_10,catchment 10th percentile elevation,m.a.s.l,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,Location and Topography,elev_50,catchment median elevation,m.a.s.l,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,Location and Topography,elev_90,catchment 90th percentile elevation,m.a.s.l,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,Location and Topography,elev_max,catchment maximum elevation,m.a.s.l,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,Location and Topography,elev_mean,catchment mean elevation,m.a.s.l,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,Location and Topography,elev_min,catchment minimum elevation,m.a.s.l,"CEH's Integrated Hydrological Digital Terrain Model (Morris and Flavin, 1990)"
topographic,Location and Topography,gauge_easting,gauge easting,m,UK National River Flow Archive using the NRFA API*
topographic,Location and Topography,gauge_elev,gauge elevation,m.a.s.l,UK National River Flow Archive using the NRFA API*
topographic,Location and Topography,gauge_id,catchment identifier (corresponds to the gauging station ID provided by the NRFA),-,UK National River Flow Archive using the NRFA API*
topographic,Location and Topography,gauge_lat,gauge latitude,°,UK National River Flow Archive using the NRFA API*
topographic,Location and Topography,gauge_lon,gauge longitude,°,UK National River Flow Archive using the NRFA API*
topographic,Location and Topography,gauge_name,gauge name (river name followed by gauging station name),-,UK National River Flow Archive using the NRFA API*
topographic,Location and Topography,gauge_northing,gauge northing,m,UK National River Flow Archive using the NRFA API*
