scope,column,dtype,missing,values,unit,description,group,source
hydrometry,q95_uncert_lower,float64,197  (29.4%),-64.62 … -6.75,%,"lower bound of the discharge uncertainty interval for the 95th percentile flow given as a percentage of the 95th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,q99_uncert_upper,float64,251  (37.4%),5.79 … 148.4,%,"upper bound of the discharge uncertainty interval for the 99th percentile flow given as a percentage of the 99th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,q99_uncert_lower,float64,251  (37.4%),-76.5 … -5.77,%,"lower bound of the discharge uncertainty interval for the 99th percentile flow given as a percentage of the 99th percentile flow - estimates for XX values of 5, 25, 50, 75, 95, 99 are provided",Hydrometry,Derived from Coxon et al (2015)
hydrometry,quncert_meta,str,—,Calculated discharge uncertainties  ·  No stage-discharge measurements av  ·  Less than 20 stage-discharge measu  ·  Discharge uncertainty estimates no,-,metadata describing the reasons why discharge uncertainty estimates are (not) provided; Calculated discharge uncertainties; No stage-discharge measurements available; Less than 20 stage-discharge measurements available for most recent rating; Discharge uncertainty estimates not provided as the estimated uncertainty bounds were deemed to not accurately reflect the discharge uncertainty or because there was no sensible relationship between stage and discharge.,Hydrometry,Derived from Coxon et al (2015)
hydrometry,station_quality_pooling,bool,—,False: 346  ·  True: 325,TRUE/ FALSE,"indicates measurement suitability at the station, specifically that flows up to the 3rd highest annual maximum on record are likely to be within 30% of their true values (TRUE indicates the station is suitable for pooling, while FALSE indicates that it is not)",Hydrometry,UK National River Flow Archive (https://nrfa.ceh.ac.uk/data/about-data/peak-flow-data/indicative-suitabilities)
hydrometry,station_quality_qmed,bool,—,True: 495  ·  False: 176,TRUE/ FALSE,"indicates measurement suitability at the station, specifically that flows up to QMED (the median of the annual maximum flows or 1-in-2 year event) are likely to be within 30% of its true value (TRUE indicates the station is suitable for QMED, while FALSE indicates that it is not).",Hydrometry,UK National River Flow Archive (https://nrfa.ceh.ac.uk/data/about-data/peak-flow-data/indicative-suitabilities)
hydrometry,station_quality_hourlyflow_issues,str,640  (95.4%),full_truncation_confirmed  ·  no_data  ·  partial_continuity_confirmed  ·  full_continuity_confirmed  ·  partial_tracedata_confirmed   (+3 more),-,"metadata describing if any station quality issues were found in the hourly flow timeseries including no data (no_data), truncated values for entire record (full_truncation) or specific parts of the timeseries (partial_truncation), continuity issues such as abrupt changes in flow regimes or prolonged gaps inconsistent with expected patterns for entire record (full_continuity) or specific parts of the timeseries (partial_continuity), very short periods of data availability prior to main period of record (partial_tracedata), and other issues (full_other_issues or partial_other_issues).",Hydrometry,Fileni et al (2026)
hydrometry,station_quality_hourlyflow_comment,str,640  (95.4%),High flows are truncated at around  ·  Station unavailable at higher temp  ·  Start of the time series with 0s f  ·  Flows look unstable and have a cle  ·  There's a gap in the time series w   (+20 more),-,provides a detailed description of any station quality issues found in the hourly flow timeseries,Hydrometry,Fileni et al (2026)
humaninfluence,gauge_id,int64,—,"1,001 … 1.07e+05  (whole numbers)",-,catchment identifier (corresponds to the gauging station ID provided by the NRFA),Key,UK National River Flow Archive using the NRFA API*
humaninfluence,benchmark_catch,str,—,N  ·  Y,Y/N,"benchmark catchment (Y indicates the catchment is part of the UK Benchmark Network, while N indicates that it is not)",Human Influence Attributes,"UK National River Flow Archive; Harrigan et al., (2018)"
humaninfluence,surfacewater_abs,float64,106  (15.8%),0 … 1.628,mm day-1,mean surface water abstraction,Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,groundwater_abs,float64,106  (15.8%),0 … 0.716,mm day-1,mean groundwater abstraction,Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,discharges,float64,106  (15.8%),0 … 0.841,mm day-1,mean discharges (daily discharges into water courses from water companies and other discharge permit holders reported to the Environment Agency),Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,abs_agriculture_perc,float64,307  (45.8%),0 … 100,%,percentage of total (groundwater and surface water) abstractions in catchment for agriculture,Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,abs_amenities_perc,float64,307  (45.8%),0 … 68.07,%,percentage of total (groundwater and surface water) abstractions in catchment for amenities,Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,abs_energy_perc,float64,307  (45.8%),0 … 100,%,percentage of total (groundwater and surface water) abstractions in catchment for energy production,Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,abs_environmental_perc,float64,307  (45.8%),0 … 61.71,%,percentage of total (groundwater and surface water) abstractions in catchment for environmental purposes,Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,abs_industry_perc,float64,307  (45.8%),0 … 100,%,"percentage of total (groundwater and surface water) abstractions in catchment for industrial, commercial and public services",Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,abs_watersupply_perc,float64,307  (45.8%),0 … 100,%,percentage of total (groundwater and surface water) abstractions in catchment for water supply,Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,abs_highloss_perc,float64,307  (45.8%),0 … 100,%,percentage of total (groundwater and surface water) abstractions in catchment that is classified as ‘high loss',Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,abs_mediumloss_perc,float64,307  (45.8%),0 … 100,%,percentage of total (groundwater and surface water) abstractions in catchment that is classified as ‘medium loss',Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,abs_lowloss_perc,float64,307  (45.8%),0 … 100,%,percentage of total (groundwater and surface water) abstractions in catchment that is classified as ‘low loss',Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,abs_verylowloss_perc,float64,307  (45.8%),0 … 100,%,percentage of total (groundwater and surface water) abstractions in catchment that is classified as ‘very low loss',Human Influence Attributes,"1 km × 1 km abstractions for multiple purposes (csv file) and 1 km × 1 km discharges for multiple purposes (RACT netcdf file) (Rameshwaran et al., 2025)"
humaninfluence,num_reservoir,int64,—,0 … 16  (whole numbers),-,number of reservoirs in the catchment,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_cap,float64,—,0 … 8.356e+06,ML,total storage capacity of reservoirs in the catchment in megalitres,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_contributing_area,float64,518  (77.2%),0.39 … 100,%,percentage of the overall catchment surface area that is drained through reservoirs,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_normalised_upstream_capacity,float64,518  (77.2%),0 … 2.43,-,ratio of the capacity of a reservoir to the average volume of precipitation received by the catchment in a year,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_he,float64,519  (77.3%),0 … 100,%,percentage of total reservoir storage in catchment used for hydroelectricty,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_nav,float64,519  (77.3%),0 … 100,%,percentage of total reservoir storage in catchment used for navigation,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_drain,float64,519  (77.3%),0 … 0  (whole numbers),%,percentage of total reservoir storage in catchment used for drainage,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_wr,float64,519  (77.3%),0 … 100,%,percentage of total reservoir storage in catchment used for water resources,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_fs,float64,519  (77.3%),0 … 100,%,percentage of total reservoir storage in catchment used for flood storage,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_env,float64,519  (77.3%),0 … 1.31,%,percentage of total reservoir storage in catchment used for environmental,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_nousedata,float64,519  (77.3%),0 … 100,%,percentage of total reservoir storage in catchment where no use data were available,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_year_first,float64,537  (80.0%),"1,794 … 1,992  (whole numbers)",-,year the first reservoir in the catchment was built,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
humaninfluence,reservoir_year_last,float64,537  (80.0%),"1,873 … 1,992  (whole numbers)",-,year the last reservoir in the catchment was built,Human Influence Attributes,"UK Reservoir Inventory (Durant and Counsell, 2018), SEPA's publicly available controlled reservoirs register (http://map.sepa.org.uk/reservoirsfloodmap/Map.htm, last access: 2nd September, 2025) and Salwey et al., (2023)"
groundwaterwell,gw_well_id,str,—,NY62_4  ·  SD53_25  ·  SE02_46  ·  SE23_4  ·  SE28_28   (+50 more),-,groundwater well identifier (corresponds to the ID provided by the British Geological Survey),Groundwater Wells,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,gw_well_name,str,—,ESPLAND HILL (NR. BRAMPTON- APPLEB  ·  RED SCAR WOOD  ·  THRUM HALL  ·  SILVER BLADES ICE RINK  ·  BEDALE   (+50 more),-,groundwater well name,Groundwater Wells,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,gw_well_lat,float64,—,50.81 … 54.6,°,groundwater well latitude,Groundwater Wells,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,gw_well_lon,float64,—,-2.92 … 1.4,°,groundwater well longitude,Groundwater Wells,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,gw_well_easting,int64,—,3.381e+05 … 6.293e+05  (whole numbers),m,groundwater well easting,Groundwater Wells,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,gw_well_northing,int64,—,1.038e+05 … 5.23e+05  (whole numbers),m,groundwater well northing,Groundwater Wells,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,gw_well_datum,float64,—,15.77 … 228.2,mAOD,the altitude of the point from which measurements are taken at a particular site,Groundwater Wells,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,gw_well_depth,float64,—,4.6 … 335.3,m,depth of the groundwater well,Groundwater Wells,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,aquifer,str,—,Permo-Triassic sandstone  ·  Millstone Grit  ·  Coal Measures  ·  Magnesian limestone  ·  Upper Jurassic   (+7 more),-,aquifer to which the water level variations in the wells are attributed,Groundwater Wells,"UK Hydrometric Register (Marsh and Hannaford, 2008)"
groundwaterwell,daily_gwlevel_period_start,str,32  (58.2%),1996-01-01  ·  2012-01-01  ·  2012-01-23  ·  1994-01-21  ·  2010-01-01   (+13 more),-,first date that daily groundwater level series provided in CAMELS-GB v2 is available for this groundwater well,Groundwater Wells,Groundwater level timeseries described in Table 4
groundwaterwell,daily_gwlevel_period_end,str,32  (58.2%),2025-02-03  ·  2025-01-18  ·  2024-12-31  ·  2024-07-19  ·  2024-09-10   (+9 more),-,end date that daily groundwater level series provided in CAMELS-GB v2 is available for this groundwater well,Groundwater Wells,Groundwater level timeseries described in Table 4
groundwaterwell,daily_gwlevel_perc_complete,float64,32  (58.2%),22.4 … 97.5,%,percentage of days with groundwater level data,Groundwater Wells,Groundwater level timeseries described in Table 4
groundwaterwell,monthly_gwlevel_period_start,str,—,1976-08-01  ·  1980-12-01  ·  1977-04-01  ·  1971-03-01  ·  1972-01-01   (+43 more),-,first date that monthly groundwater level series provided in CAMELS-GB v2 is available for this groundwater well,Groundwater Wells,Groundwater level timeseries described in Table 4
groundwaterwell,monthly_gwlevel_period_end,str,—,2024-06-01  ·  2025-02-01  ·  2025-01-01  ·  2024-12-01  ·  2024-08-01   (+10 more),-,end date that monthly groundwater level series provided in CAMELS-GB v2 is available for this groundwater well,Groundwater Wells,Groundwater level timeseries described in Table 4
groundwaterwell,monthly_gwlevel_perc_complete,float64,—,39.65 … 97.82,%,percentage of months with groundwater level data,Groundwater Wells,Groundwater level timeseries described in Table 4
timeseries_daily,date,datetime64[us],—,1970-10-01 00:00:00 … 2022-09-30 00:00:00,date,observation date (YYYY-MM-DD); the daily value covers 09:00-09:00,Key,-
timeseries_daily,precipitation_cehgear,float64,1004  (5.3%),0 … 62.06,mm day-1,catchment averaged daily precipitation,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),"CEH-GEAR (Keller et al., 2015; Tanguy, 2021)"
timeseries_daily,precipitation_haduk,float64,—,0 … 65.24,mm day-1,catchment averaged daily precipitation,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),"HadUK-Grid (Hollis et al., 2019)"
timeseries_daily,pet_chess,float64,1004  (5.3%),0 … 5.08,mm day-1,catchment averaged daily potential evapotranspiration for a well-watered grass (Penman-Monteith equation),Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),"CHESS-PE (Robinson et al., 2017, 2023b)"
timeseries_daily,peti_chess,float64,1004  (5.3%),0 … 5.08,mm day-1,catchment averaged daily potential evapotranspiration for a well-watered grass (Penman-Monteith equation with a correction added for interception on days where rainfall has occurred),Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),"CHESS-PE (Robinson et al., 2017, 2023b)"
timeseries_daily,pet_hydrope,float64,—,0 … 5.3,mm day-1,catchment averaged daily potential evapotranspiration for a well-watered grass (Penman-Monteith equation),Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),"Hydro-PE (Brown et al., 2023; Robinson et al., 2023c)"
timeseries_daily,peti_hydrope,float64,—,0 … 5.63,mm day-1,catchment averaged daily potential evapotranspiration for a well-watered grass (Penman-Monteith equation with a correction added for interception on days where rainfall has occurred),Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),"Hydro-PE (Brown et al., 2023; Robinson et al., 2023c)"
timeseries_daily,temperature_chess,float64,1004  (5.3%),-9.66 … 19.81,°C,catchment averaged daily temperature,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),"CHESS-met (Robinson et al., 2023a)"
timeseries_daily,temperature_haduk,float64,—,-9.39 … 20.94,°C,catchment averaged daily temperature,Meteorological Timeseries (available from 1st October 1970 - 30th September 2022),"HadUK-Grid (Hollis et al., 2019)"
timeseries_daily,discharge_spec,float64,123  (0.6%),0.2 … 34.75,mm day-1,catchment specific discharge (converted to mm day-1 using catchment areas described in Section 2),Hydrological Timeseries (available from 1st October 1970 - 30th September 2022),UK National River Flow Archive using the NRFA API*
timeseries_daily,discharge_vol,float64,123  (0.6%),0.74 … 131,m3 s-1,catchment discharge,Hydrological Timeseries (available from 1st October 1970 - 30th September 2022),UK National River Flow Archive using the NRFA API*
timeseries_hourly,date,datetime64[us],—,1990-10-01 09:00:00 … 2022-10-01 08:00:00,datetime,"observation timestamp (YYYY-MM-DD HH:MM:SS), hourly, running 09:00 to 09:00",Key,-
timeseries_hourly,precipitation_cehgear,float64,50385  (18.0%),0 … 13.86,mm hour-1,catchment hourly averaged precipitation from 1st October 1990 - 31st December 2019,Meteorological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),"CEH-GEAR1hr (Lewis et al., 2018, 2022)"
timeseries_hourly,precipitation_gradgb,float64,138815  (49.5%),0 … 18.73,mm hour-1,catchment hourly averaged precipitation from 1st January 2006 - 31st December 2023,Meteorological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),"Gauge-Radar Precipitation Dataset (1 hour and 1 km) for Great Britain, GRaD-GB(1H1K) (Qiu et al., 2025b, a)"
timeseries_hourly,discharge_spec,float64,—,0.004 … 2.367,mm hour-1,catchment specific discharge (converted to mm hour-1 using catchment areas described in Section 2),Hydrological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),"The flows and level data were obtained from SEPA via the timeseries data service (https://timeseriesdoc.sepa.org.uk/; last access 23rd September 2025), from EA primarily through the Hydrology Data Explorer (https://environment.data.gov.uk/hydrology; last access 23rd September 2025) and, where unavailable, with staff assistance, and from NRW entirely with staff assistance. Flags derived from UKFlows15."
timeseries_hourly,discharge_vol,float64,—,0.372 … 214.1,m3 s-1,catchment discharge,Hydrological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),"The flows and level data were obtained from SEPA via the timeseries data service (https://timeseriesdoc.sepa.org.uk/; last access 23rd September 2025), from EA primarily through the Hydrology Data Explorer (https://environment.data.gov.uk/hydrology; last access 23rd September 2025) and, where unavailable, with staff assistance, and from NRW entirely with staff assistance. Flags derived from UKFlows15."
timeseries_hourly,discharge_flag,int64,—,0 … 500  (whole numbers),-,numeric flag that indicates the quality of the flow data (full description of flags can be found in Figure S5 and Table S1-S3),Hydrological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),"The flows and level data were obtained from SEPA via the timeseries data service (https://timeseriesdoc.sepa.org.uk/; last access 23rd September 2025), from EA primarily through the Hydrology Data Explorer (https://environment.data.gov.uk/hydrology; last access 23rd September 2025) and, where unavailable, with staff assistance, and from NRW entirely with staff assistance. Flags derived from UKFlows15."
timeseries_hourly,level,float64,—,0.181 … 2.67,m,height of the river (measured in metres above river bed),Hydrological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),"The flows and level data were obtained from SEPA via the timeseries data service (https://timeseriesdoc.sepa.org.uk/; last access 23rd September 2025), from EA primarily through the Hydrology Data Explorer (https://environment.data.gov.uk/hydrology; last access 23rd September 2025) and, where unavailable, with staff assistance, and from NRW entirely with staff assistance. Flags derived from UKFlows15."
timeseries_hourly,level_flag,int64,—,0 … 0  (whole numbers),-,numeric flag that indicates the quality of the level data (full description of flags can be found in Figure S5 and Table S1-S3),Hydrological Timeseries (available from 1st October 1990 09:00 - 1st October 2022 08:00),"The flows and level data were obtained from SEPA via the timeseries data service (https://timeseriesdoc.sepa.org.uk/; last access 23rd September 2025), from EA primarily through the Hydrology Data Explorer (https://environment.data.gov.uk/hydrology; last access 23rd September 2025) and, where unavailable, with staff assistance, and from NRW entirely with staff assistance. Flags derived from UKFlows15."
timeseries_gw,date,datetime64[us],—,1976-08-01 00:00:00 … 2024-06-01 00:00:00,date,observation date (YYYY-MM-DD) of the groundwater level reading,Key,-
timeseries_gw,groundwater_level,float64,347  (60.3%),133.1 … 137,mAOD,groundwater level for a specific borehole at either daily or monthly timesteps,Groundwater Level Timeseries (daily and monthly timeseries for variable time periods),"British Geological Survey (BGS), National Groundwater Level Archive [online]. Available at: https://www2.bgs.ac.uk/groundwater/datainfo/levels/ngla.html (Accessed: 01 Feb 2025)."
